station_id,date_from,date_to,altitude,latitude,longitude,name,state
"5717",2006-09-01,2021-02-11,"134",51.2256,7.1052,Wuppertal-Buchenhofen,Nordrhein-Westfalen
"5719",2004-10-01,2009-12-10,"235",51.2051,7.2,Remscheid,Nordrhein-Westfalen
"5733",2005-05-01,2021-02-11,"20",51.697,6.3974,Xanten,Nordrhein-Westfalen
"6197",2000-10-13,2021-02-11,"258",51.8664,9.271,L�gde-Paenbruch,Nordrhein-Westfalen
"6264",2004-06-01,2021-02-11,"457",51.414,8.65,Brilon-Th�len,Nordrhein-Westfalen
"6276",2004-11-01,2019-11-02,"235",51.4895,7.7813,Fr�ndenberg-Hohenheide,Nordrhein-Westfalen
"6313",2004-12-01,2021-02-11,"440",51.2488,7.4672,Breckerfeld-Wengeberg,Nordrhein-Westfalen
"6337",2004-08-01,2021-02-11,"59",51.7663,7.5194,L�dinghausen-Brochtrup,Nordrhein-Westfalen
"7106",2006-09-01,2021-02-11,"105",52.0714,8.4565,Bielefeld-Deppendorf,Nordrhein-Westfalen
"7330",2005-10-01,2021-02-11,"159",51.4633,7.978,Arnsberg-Neheim,Nordrhein-Westfalen
"7344",2006-06-01,2021-02-11,"45",51.2992,6.2013,Nettetal-H�lst,Nordrhein-Westfalen
"7374",2006-03-01,2021-02-11,"46",52.0813,6.9409,Ahaus,Nordrhein-Westfalen
"7378",2006-07-01,2021-02-11,"101",51.0149,6.5173,Bedburg-Weiler Hohenholz,Nordrhein-Westfalen
"13669",2007-09-01,2021-02-11,"55",52.0087,7.8519,Ostbevern-Schirlheide,Nordrhein-Westfalen
"13670",2007-06-01,2021-02-11,"24",51.5088,6.7018,Duisburg-Baerl,Nordrhein-Westfalen
"13671",2007-12-01,2021-02-11,"221",50.9655,7.2753,Overath-B�ke,Nordrhein-Westfalen
"13696",2007-12-01,2021-02-11,"60",51.5966,7.4048,Waltrop-Abdinghof,Nordrhein-Westfalen
"13700",2008-05-01,2021-02-11,"205",51.3329,7.3411,Gevelsberg-Oberbr�king,Nordrhein-Westfalen
"13713",2007-11-01,2021-02-11,"386",51.0899,7.6289,Meinerzhagen-Redlendorf,Nordrhein-Westfalen
"15000",2011-04-01,2021-02-11,"231",50.7983,6.0244,Aachen-Orsbach,Nordrhein-Westfalen
